expt_name,replication_flag,subjectID,order,age,gender,sessionNumber,game,gameLength,uc,m1,m2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
vertex,0,1,0,22,0,0,1,5,1,40,52,40,44,52,40,52,NaN,NaN,NaN,NaN,NaN,1,1,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.21949999999998,NaN,NaN,NaN,NaN,NaN
vertex,0,1,0,22,0,0,2,10,3,60,64,58,59,64,63,69,77,47,52,62,61,2,1,2,2,2,2,2,1,1,1,NaN,NaN,NaN,NaN,2.0675,1.00479999999982,1.25589999999994,3.02810000000011,2.55020000000019,2.03729999999985
vertex,0,1,0,22,0,0,3,5,2,40,70,67,47,62,35,67,NaN,NaN,NaN,NaN,NaN,2,1,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.916299999999865,NaN,NaN,NaN,NaN,NaN
vertex,0,1,0,22,0,0,4,5,2,28,40,44,27,39,29,47,NaN,NaN,NaN,NaN,NaN,2,1,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.31230000000028,NaN,NaN,NaN,NaN,NaN
vertex,0,1,0,22,0,0,5,5,3,60,30,22,38,34,67,64,NaN,NaN,NaN,NaN,NaN,2,2,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.57370000000014,NaN,NaN,NaN,NaN,NaN
vertex,0,1,0,22,0,0,6,5,2,72,60,75,75,69,50,81,NaN,NaN,NaN,NaN,NaN,1,2,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.02169999999973,NaN,NaN,NaN,NaN,NaN
vertex,0,1,0,22,0,0,7,5,2,68,60,66,76,60,54,63,NaN,NaN,NaN,NaN,NaN,2,1,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.98079999999982,NaN,NaN,NaN,NaN,NaN
vertex,0,1,0,22,0,0,8,5,1,44,40,39,49,39,47,37,NaN,NaN,NaN,NaN,NaN,1,1,1,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.65210000000008,NaN,NaN,NaN,NaN,NaN
vertex,0,1,0,22,0,0,9,10,2,90,60,96,88,59,67,99,92,81,52,90,99,1,1,2,2,1,1,1,2,1,1,NaN,NaN,NaN,NaN,1.66689999999994,1.36360000000008,1.73609999999962,0.867799999999818,2.14589999999993,1.0356000000001
vertex,0,1,0,22,0,0,10,10,2,40,36,36,21,46,26,41,35,38,22,35,37,2,2,1,1,1,1,2,2,1,1,NaN,NaN,NaN,NaN,2.351,1.41860000000008,1.42170000000021,1.43900000000002,1.48789999999991,1.23649999999998
vertex,0,1,0,22,0,0,11,5,3,60,40,46,36,26,68,61,NaN,NaN,NaN,NaN,NaN,2,2,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.988200000000177,NaN,NaN,NaN,NaN,NaN
vertex,0,1,0,22,0,0,12,5,2,40,10,11,39,1,34,33,NaN,NaN,NaN,NaN,NaN,2,1,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.01690000000036,NaN,NaN,NaN,NaN,NaN
vertex,0,1,0,22,0,0,13,10,2,30,60,80,61,20,25,60,53,73,45,37,60,2,2,1,1,2,2,2,2,1,2,NaN,NaN,NaN,NaN,1.81169999999975,1.76719999999978,1.64699999999993,1.81720000000018,1.39010000000019,2.85230000000035
vertex,0,1,0,22,0,0,14,10,3,60,64,58,59,64,61,73,69,58,68,56,62,2,1,2,2,1,1,1,2,2,1,NaN,NaN,NaN,NaN,2.14230000000032,1.38520000000017,1.23270000000014,2.48789999999985,1.3178999999999,1.59889999999984
